CustomerID,Age,AnnualIncome,WebsiteVisits,AppSessions,PreviousOrders,AverageOrderValue,DaysSinceLastPurchase,ReturnRate,CancellationRate,LoyaltyTier,DiscountUsedLastCampaign,Year1Spending,FutureSpending,TotalEngagement,SpendingGrowth,SpendingGrowthRate,OrderIntensity,NetEngagementScore,Segment
LTV00001,33,64196.02,145,61,19,1403.79,242,0.136,0.028,Gold,No,25356.8,12438.46,206,-12918.34,-0.509442459519359,0.07818930041152264,208.6,High-Value Customer
LTV00002,46,69889.53,153,111,2,988.47,223,0.126,0.067,Silver,Yes,2768.68,5860.22,264,3091.5400000000004,1.116208370642096,0.008928571428571428,246.70000000000002,High-Potential Customer
LTV00003,20,83269.51,175,112,34,2386.24,101,0.026,0.087,Silver,No,80895.63,39203.34,287,-41692.29000000001,-0.5153773401932813,0.3333333333333333,309.7,High-Value Customer
LTV00004,44,79914.63,22,80,0,1121.87,98,0.037,0.004,Gold,Yes,874.95,3157.73,102,2282.7799999999997,2.6060619898396022,0.0,97.89999999999999,Low-Engagement Customer
LTV00005,26,84091.39,24,166,12,1942.48,256,0.052,0.004,Gold,No,22962.4,11423.53,190,-11538.87,-0.5024896139073483,0.04669260700389105,196.4,High-Value Customer
LTV00006,25,72359.71,87,160,0,417.87,26,0.388,0.094,Bronze,Yes,422.53,396.44,247,-26.089999999999975,-0.0616013033315231,0.0,198.79999999999998,Low-Value Customer
LTV00007,19,92018.29,9,107,18,1550.31,354,0.273,0.134,Gold,No,25238.88,13263.82,116,-11975.060000000001,-0.4744499577652509,0.05070422535211268,93.3,High-Value Customer
LTV00008,30,75140.61,52,213,25,792.94,93,0.294,0.16,Bronze,Yes,18253.19,9369.67,265,-8883.519999999999,-0.48665648818161744,0.26595744680851063,244.60000000000002,High-Value Customer
LTV00009,32,44835.82,131,124,4,1244.15,227,0.208,0.02,Silver,No,4578.19,3332.1,255,-1246.0899999999997,-0.27212017845950914,0.017543859649122806,236.2,Medium-Value Customer
LTV00010,40,49952.29,126,7,5,1487.38,98,0.366,0.314,Bronze,Yes,6435.93,2811.89,133,-3624.0400000000004,-0.5630075206659075,0.050505050505050504,70.0,Low-Value Customer
LTV00011,57,86327.82,105,240,5,1699.0,163,0.017,0.321,Bronze,No,8578.69,6052.87,345,-2525.8200000000006,-0.294395252042906,0.03048780487804878,316.2,Medium-Value Customer
LTV00012,32,74223.86,111,89,22,1324.23,170,0.011,0.318,Bronze,No,29088.2,15173.78,200,-13914.42,-0.4783362897570232,0.1286549707602339,189.1,High-Value Customer
LTV00013,32,126237.45,176,22,1,386.36,261,0.071,0.075,Silver,No,887.55,4722.53,198,3834.9799999999996,4.315997974227674,0.003816793893129771,184.4,High-Potential Customer
LTV00014,61,25267.58,95,185,19,1524.15,351,0.155,0.114,Bronze,Yes,27556.59,13659.96,280,-13896.630000000001,-0.5042759544648135,0.05397727272727273,272.1,High-Value Customer
LTV00015,35,58909.37,81,173,13,1717.76,273,0.108,0.108,Bronze,No,21526.23,9323.17,254,-12203.06,-0.566866243357831,0.04744525547445255,245.39999999999998,High-Value Customer
LTV00016,21,42493.37,77,96,2,1647.92,88,0.047,0.126,Bronze,No,3750.15,4867.29,173,1117.1399999999999,0.29781267078096046,0.02247191011235955,157.70000000000002,Medium-Value Customer
LTV00017,55,72177.73,157,4,12,2037.27,0,0.285,0.008,Gold,No,21881.84,11233.0,161,-10648.84,-0.4866297061990126,12.0,143.7,High-Value Customer
LTV00018,28,88453.47,63,2,10,886.97,174,0.045,0.411,Gold,No,8968.75,7824.43,65,-1144.3199999999997,-0.12757546196939712,0.05714285714285714,29.400000000000006,Medium-Value Customer
LTV00019,51,88553.24,2,12,8,1064.0,236,0.169,0.037,Bronze,Yes,8245.67,4984.86,14,-3260.8100000000004,-0.3954092985411082,0.03375527426160337,1.3999999999999981,Medium-Value Customer
LTV00020,49,63532.42,45,207,15,1698.05,164,0.026,0.113,Bronze,No,26009.41,13154.85,252,-12854.56,-0.4942082804538644,0.09090909090909091,253.09999999999997,High-Value Customer
LTV00021,56,80688.78,37,22,1,2053.05,212,0.057,0.073,Bronze,Yes,2080.75,878.53,59,-1202.22,-0.5775045034226012,0.004694835680751174,47.0,Low-Engagement Customer
LTV00022,35,72563.09,66,59,3,1936.08,156,0.06,0.073,Platinum,Yes,5738.23,6146.88,125,408.65000000000055,0.07120293140369015,0.01910828025477707,114.7,Medium-Value Customer
LTV00023,44,79150.93,77,235,3,2325.25,123,0.179,0.139,Silver,No,7321.96,4264.46,312,-3057.5,-0.4175224226269159,0.024193548387096774,283.20000000000005,Medium-Value Customer
LTV00024,40,54210.12,2,42,7,2624.73,50,0.09,0.1,Silver,Yes,18202.45,9470.22,44,-8732.230000000001,-0.47970192463516537,0.13725490196078433,32.0,High-Value Customer
LTV00025,65,80042.89,93,193,5,1725.2,241,0.058,0.038,Bronze,No,9149.66,4298.09,286,-4851.57,-0.5301879864403223,0.02066115702479339,281.4,Medium-Value Customer
LTV00026,41,54151.11,129,93,0,855.77,355,0.467,0.096,Bronze,Yes,689.75,2264.1,222,1574.35,2.2791892870068766,0.0,165.70000000000002,Low-Value Customer
LTV00027,53,88641.33,142,217,1,1574.32,260,0.191,0.108,Bronze,No,1554.4,5533.51,359,3979.11,2.5582551112254084,0.0038314176245210726,330.09999999999997,High-Potential Customer
LTV00028,36,82375.57,120,223,47,1309.0,1,0.209,0.024,Bronze,No,56630.68,26988.11,343,-29642.57,-0.5234273466723925,23.5,366.70000000000005,High-Value Customer
LTV00029,41,94646.17,15,225,1,1262.32,248,0.078,0.313,Bronze,No,1635.18,916.96,240,-718.22,-0.43896148345536556,0.004016064257028112,201.89999999999998,Low-Engagement Customer
LTV00030,41,67021.62,166,180,12,1299.88,360,0.066,0.059,Bronze,Yes,15875.97,10469.36,346,-5406.609999999999,-0.3405316001730808,0.0332409972299169,345.5,High-Value Customer
LTV00031,47,72559.37,83,183,31,984.98,334,0.238,0.276,Platinum,No,28200.78,15770.5,266,-12430.279999999999,-0.44076224975870315,0.09253731343283582,245.6,High-Value Customer
LTV00032,58,57768.47,63,170,16,1977.41,106,0.179,0.366,Bronze,Yes,30051.03,16514.42,233,-13536.61,-0.45043912174984524,0.14953271028037382,194.5,High-Value Customer
LTV00033,60,18000.0,34,260,4,1402.31,203,0.068,0.019,Gold,Yes,6236.76,8007.25,294,1770.4899999999998,0.2838342610167752,0.0196078431372549,289.3,Medium-Value Customer
LTV00034,59,80390.04,36,69,25,1236.44,113,0.24,0.199,Silver,No,28029.2,11880.59,105,-16148.61,-0.5761146905837276,0.21929824561403508,86.1,High-Value Customer
